ImageIndex,record_id,processid,specimen_identifiers,identification_method,phylum,class,order,family,genus,species,sex,lifestage,lat,lon,site_code,caption,media_descriptor,image_file,copyright_institution,photographer
ImgIndex_0508,7009995,CRICO336-16,NID-N1380,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1380_1+1524075436.jpg,University of Nebraska,Tom Powers
ImgIndex_0509,7009995,CRICO336-16,NID-N1380,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1380_2+1524075478.jpg,University of Nebraska,Tom Powers
ImgIndex_0510,7009995,CRICO336-16,NID-N1380,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1380_3+1524075508.jpg,University of Nebraska,Tom Powers
ImgIndex_0511,7009996,CRICO337-16,NID-N1381,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema thornei HG05,F,Adult,38.959,-77.1415,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1381_1+1526495536.jpg,University of Nebraska,Tom Powers
ImgIndex_0512,7009996,CRICO337-16,NID-N1381,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema thornei HG05,F,Adult,38.959,-77.1415,,Female midbody cuticle,Midbody,http://www.boldsystems.org/pics/CRICO/NID1381_2+1526495570.jpg,University of Nebraska,Tom Powers
ImgIndex_0513,7009998,CRICO339-16,NID-N1383,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1383_1+1524076208.jpg,University of Nebraska,Tom Powers
ImgIndex_0514,7009998,CRICO339-16,NID-N1383,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1383_2+1524076296.jpg,University of Nebraska,Tom Powers
ImgIndex_0515,7009998,CRICO339-16,NID-N1383,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile tail,Tail,http://www.boldsystems.org/pics/CRICO/NID1383_3+1524076330.jpg,University of Nebraska,Tom Powers
ImgIndex_0516,7009999,CRICO340-16,NID-N1384,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1384_1+1524076620.jpg,University of Nebraska,Tom Powers
ImgIndex_0517,7009999,CRICO340-16,NID-N1384,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema sp. HG24,,Juvenile,40.6932,-96.8494,,Juvenile tail,Tail,http://www.boldsystems.org/pics/CRICO/NID1384_3+1524076680.jpg,University of Nebraska,Tom Powers
